# Norgesbuss-NL-17Fz

# instance data:    max_x_coord    max_y_coord    service_start    service_end    earliest_departure    latest_arrival
data    10    59    0    129600    15540    93480

vehicle_types    1
# ID    name    cost_per_vehicle    cost_per_hour    cost_per_km    battery
0    NL    238.49    125    2    260000

locations    1
# ID    x_coord    y_coord
0    10    59

grid_access    1
# ID    power_limits: [end_time,max_power_per_minute]
0    [-1,-]

depots    1
# ID    location_ID    type_bitset
0    0    1,

groups    1
# ID    type_bitset    depot_bitset
0    1,    1,

constraints    3
# ID    type    minimum    maximum    group_ID
0    1    0    23    0
1    2    0    3585329    0
2    4    0    873360000    0

parking_lots    1
# ID    location_ID    depot_ID    capacity    parking_cost_per_second
0    0    0    5    0

stations    1
# ID    location_ID    depot_ID    grid_access_ID    capacity
0    0    0    0    7

trips    752
# ID    from_location_ID    to_location_ID    group_ID    start_time    end_time    length    energy_per_vehicle_type    tasks_and_links
0    0    0    0    16800    17940    6592    7762    2
1    0    0    0    16920    18240    8940    10241    20
2    0    0    0    18600    19740    6592    7762    42
3    0    0    0    18660    19800    5523    6734    60
4    0    0    0    18720    20040    8940    10241    64
5    0    0    0    19320    19440    923    1037    65
6    0    0    0    19320    19500    1011    1197    89
7    0    0    0    18960    20220    8812    10046    92
8    0    0    0    19020    20160    6461    7633    93
9    0    0    0    19500    19680    781    976    94
10    0    0    0    19500    19680    893    1084    95
11    0    0    0    20400    21540    6592    7762    181
12    0    0    0    20460    21600    5523    6734    217
13    0    0    0    20520    21840    8940    10241    221
14    0    0    0    21120    21240    923    1037    222
15    0    0    0    21120    21300    1011    1197    261
16    0    0    0    20760    22020    8812    10046    264
17    0    0    0    20820    21960    6461    7633    265
18    0    0    0    21300    21480    781    976    266
19    0    0    0    21300    21480    893    1084    267
20    0    0    0    22200    22380    893    1084    402
21    0    0    0    22200    23340    6592    7762    430
22    0    0    0    22440    23100    4559    5207    431
23    0    0    0    22260    23400    5523    6734    465
24    0    0    0    22320    23640    8940    10241    469
25    0    0    0    22920    23040    923    1037    470
26    0    0    0    22920    23100    1011    1197    509
27    0    0    0    22560    23820    8812    10046    548
28    0    0    0    22620    23760    6461    7633    549
29    0    0    0    23100    23280    781    976    550
30    0    0    0    23100    23280    893    1084    551
31    0    0    0    23100    23940    5384    6226    693
32    0    0    0    23100    24240    6592    7762    746
33    0    0    0    23340    24000    4559    5207    747
34    0    0    0    23160    24300    5523    6734    790
35    0    0    0    23220    24540    8940    10241    794
36    0    0    0    23820    23940    923    1037    795
37    0    0    0    23820    24000    1011    1197    843
38    0    0    0    23460    24720    8812    10046    885
39    0    0    0    23520    24660    6461    7633    886
40    0    0    0    24000    24180    781    976    887
41    0    0    0    24000    24180    893    1084    888
42    0    0    0    24000    25140    6592    7762    1053
43    0    0    0    24240    24900    4559    5207    1054
44    0    0    0    24060    25200    5523    6734    1103
45    0    0    0    24120    25440    8940    10241    1107
46    0    0    0    24720    24840    923    1037    1108
47    0    0    0    24720    24900    1011    1197    1159
48    0    0    0    24360    25620    8812    10046    1204
49    0    0    0    24420    25560    6461    7633    1205
50    0    0    0    24900    25080    781    976    1206
51    0    0    0    24900    25080    893    1084    1207
52    0    0    0    24900    25740    5384    6226    1373
53    0    0    0    24900    26040    6592    7762    1432
54    0    0    0    25140    25800    4559    5207    1433
55    0    0    0    24960    26100    5523    6734    1482
56    0    0    0    25020    26340    8940    10241    1486
57    0    0    0    25620    25740    923    1037    1487
58    0    0    0    25620    25800    1011    1197    1538
59    0    0    0    25260    26520    8812    10046    1585
60    0    0    0    25320    26460    6461    7633    1586
61    0    0    0    25800    25980    781    976    1587
62    0    0    0    25800    25980    893    1084    1588
63    0    0    0    25800    26400    2708    3354    1704
64    0    0    0    26040    26580    2804    3370    1811
65    0    0    0    25800    26940    6592    7762    1866
66    0    0    0    26040    26700    4559    5207    1867
67    0    0    0    25860    27000    5523    6734    1918
68    0    0    0    25920    27240    8940    10241    1922
69    0    0    0    26520    26640    923    1037    1923
70    0    0    0    26520    26700    1011    1197    1974
71    0    0    0    26400    26940    4513    5014    1977
72    0    0    0    26160    27420    8812    10046    2076
73    0    0    0    26220    27360    6461    7633    2077
74    0    0    0    26700    26880    781    976    2078
75    0    0    0    26700    26880    893    1084    2079
76    0    0    0    26700    27300    2708    3354    2195
77    0    0    0    26700    27540    5384    6226    2302
78    0    0    0    26940    27480    2804    3370    2360
79    0    0    0    26700    27840    6592    7762    2415
80    0    0    0    26940    27600    4559    5207    2416
81    0    0    0    26760    27900    5523    6734    2467
82    0    0    0    26820    28140    8940    10241    2471
83    0    0    0    27420    27540    923    1037    2472
84    0    0    0    27420    27600    1011    1197    2523
85    0    0    0    27300    27840    4513    5014    2526
86    0    0    0    27060    28320    8812    10046    2625
87    0    0    0    27120    28260    6461    7633    2626
88    0    0    0    27600    27780    781    976    2627
89    0    0    0    27600    27780    893    1084    2628
90    0    0    0    27600    28200    2708    3354    2738
91    0    0    0    27840    28380    2804    3370    2845
92    0    0    0    27600    28740    6592    7762    2897
93    0    0    0    27840    28500    4559    5207    2898
94    0    0    0    27660    28800    5523    6734    2946
95    0    0    0    27720    29040    8940    10241    2950
96    0    0    0    28320    28440    923    1037    2951
97    0    0    0    28320    28500    1011    1197    2996
98    0    0    0    28200    28740    4513    5014    2999
99    0    0    0    27960    29220    8812    10046    3092
100    0    0    0    28020    29160    6461    7633    3093
101    0    0    0    28500    28680    781    976    3094
102    0    0    0    28500    28680    893    1084    3095
103    0    0    0    28500    29100    2708    3354    3181
104    0    0    0    28500    29340    5384    6226    3288
105    0    0    0    28740    29280    2804    3370    3331
106    0    0    0    28500    29640    6592    7762    3374
107    0    0    0    28740    29400    4559    5207    3375
108    0    0    0    28560    29700    5523    6734    3408
109    0    0    0    28620    29940    8940    10241    3412
110    0    0    0    29220    29340    923    1037    3413
111    0    0    0    29220    29400    1011    1197    3443
112    0    0    0    29100    29640    4513    5014    3446
113    0    0    0    28860    30120    8812    10046    3527
114    0    0    0    28920    30060    6461    7633    3528
115    0    0    0    29400    29580    781    976    3529
116    0    0    0    29400    29580    893    1084    3530
117    0    0    0    29400    30000    2708    3354    3601
118    0    0    0    29640    30180    2804    3370    3684
119    0    0    0    29400    30540    6592    7762    3721
120    0    0    0    29640    30300    4559    5207    3722
121    0    0    0    29460    30600    5523    6734    3749
122    0    0    0    29520    30840    8940    10241    3753
123    0    0    0    30120    30240    923    1037    3754
124    0    0    0    30120    30300    1011    1197    3781
125    0    0    0    30000    30540    4513    5014    3784
